"08/01/2025","2500.00","*","","PAYROLL DIRECT DEPOSIT SAMPLE EMPLOYER CO"
"08/01/2025","-1400.00","*","1001","CHECK # 1001"
"08/03/2025","-62.45","*","","PURCHASE AUTHORIZED ON 08/02 SAFEWAY 1234 SACRAMENTO CA S000000000001 CARD 0000"
"08/05/2025","-15.99","*","","RECURRING PAYMENT AUTHORIZED ON 08/05 NETFLIX.COM CA S000000000002 CARD 0000"
"08/07/2025","-4.75","*","","PURCHASE AUTHORIZED ON 08/07 STARBUCKS SACRAMENTO CA S000000000003 CARD 0000"
"08/08/2025","-145.20","*","","SMUD WEB_PAY AUG 25 000000000000001 SAMPLE USER"
"08/09/2025","-48.00","*","","PURCHASE AUTHORIZED ON 08/09 CHEVRON 0234 SACRAMENTO CA S000000000004 CARD 0000"
"08/10/2025","-85.00","*","","KAISER PERMANENTE WEB PMT 2025-08-09 000000000002 SAMPLE USER"
"08/11/2025","-35.00","*","","SAMPLECITY FITNESS GYM MEMBERSHIP 08/11 CARD 0000"
"08/14/2025","-67.89","*","","PURCHASE AUTHORIZED ON 08/14 GROCERY OUTLET 0987 SACRAMENTO CA S000000000005 CARD 0000"
"08/15/2025","125.00","*","","VENMO CASHOUT 250815 0000000000001 SAMPLE USER"
"08/16/2025","-18.50","*","","PURCHASE AUTHORIZED ON 08/16 ANIMAL SUPPLY CO SACRAMENTO CA S000000000006 CARD 0000"
"08/18/2025","-230.00","*","","PURCHASE AUTHORIZED ON 08/18 ANIMAL HOSPITAL EMERGENCY SACRAMENTO CA S000000000007 CARD 0000"
"08/20/2025","-8.99","*","","AMAZON PRIME VIDEO ONLINE 000000000003 SAMPLE USER"
"08/22/2025","-52.10","*","","PURCHASE AUTHORIZED ON 08/22 TARGET T-1234 SACRAMENTO CA S000000000008 CARD 0000"
"08/24/2025","-12.00","*","","PURCHASE AUTHORIZED ON 08/24 CHIPOTLE 0456 SACRAMENTO CA S000000000009 CARD 0000"
"08/26/2025","-89.00","*","","VERIZON WIRELESS PMT 0000000000004 SAMPLE USER"
"08/28/2025","-50.00","*","","COMCAST XFINITY INTERNET 0000000000005 SAMPLE USER"
"08/29/2025","-350.00","*","","SYNCHRONY BANK CC PYMT AUG 29 000000000000006 SAMPLE USER"
"08/30/2025","-28.00","*","","PURCHASE AUTHORIZED ON 08/30 UBER TRIP HELP.UBER.COM CA S000000000010 CARD 0000"
